DATE;    	HEURE;	EXT;    	  INT
20/03/2023;	13:00;	2142,296;   863,264
20/03/2023;	23:50;	        ;	863,330
21/03/2023;	08:50;	        ;	863,355
22/03/2023;	09:22;	        ;	863,669
22/03/2023;	20:51; 	        ;	863,759
23/03/2023;	09:20;	        ; 	863,830
23/03/2023;	13:11;  2142,953; 	863,907
23/03/2023;	21:52;          ; 	864,104
24/03/2023;	11:00;          ;   864,170
25/03/2023;	12:02;          ;	864,402
26/03/2023;	19:38;          ;	864,800
26/03/2023;	09:53;          ;	865,020
29/03/2023;	02:19;          ;	865,200
29/03/2023;	21:31;	        ;	865,200
30/03/2023;	19:26;	        ;	865,287
01/04/2023;	12:01;	        ;   865,514
03/04/2023; 01:58;          ;   865,500
04/04/2023; 19:36;	        ;	865,600
06/04/2023; 08:46;	        ;	865,757
08/04/2023; 23.06;	        ;	865,760
11/04/2023;	13:00;	        ;	866,030
12/04/2023;	14:54;	        ;	866,200
17/04/2023;	12:06;	        ;	866.867
18/04/2023;	20:22;			;	867,300
20/04/2023;	08:45;			;	867,550
30/04/2023;	21:40;			;	870,992
04/05/2023;	00:29;			;	871,200
12/05/2023;	12:00;			;	884,127
16/05/2023;	12:00:			;	884,925
